Name,Mass (10^24kg),Diameter (km),Density (kg/m3),Gravity (m/s2),Escape Velocity (km/s),Rotation Period (hours),Length of Day (hours)
 MERCURY ,0.33,4879,5427,3.7,4.3,1407.6,4222.6
 VENUS ,4.87,12104,5243,8.9,10.4,-5832.5,2802
 EARTH ,5.97,12756,5514,9.8,11.2,23.9,24
 MOON ,0.073,3475,3340,1.6,2.4,655.7,708.7
 MARS ,0.642,6792,3933,3.7,5,24.6,24.7
 JUPITER ,1898,142984,1326,23.1,59.5,9.9,9.9
 SATURN ,568,120536,687,9,35.5,10.7,10.7
 URANUS ,86.8,51118,1271,8.7,21.3,-17.2,17.2
 NEPTUNE ,102,49528,1638,11,23.5,16.1,16.1
 PLUTO ,0.0131,2390,1830,0.6,1.1,-153.3,153.3
